File/Folder Path,Exclusion Status,Test Hits,Frameworks,Initial Triggers,User Comments
TEST_REPOS/django-testing-examples/myapp/tests/selenium_tests/conftest.py,Auto-Detected Excluded,2,Pytest,Uses testing-specific decorator (@pytest / @fixture),
TEST_REPOS/django-testing-examples/myapp/tests/selenium_tests/test_selenium.py,Auto-Detected Excluded,1,Pytest/Unittest,Contains test function (test_*),
TEST_REPOS/django-testing-examples/myapp/tests/test_forms.py,Auto-Detected Excluded,2,Pytest/Unittest,Contains test function (test_*),
TEST_REPOS/django-testing-examples/myapp/tests/test_helloworld.py,Auto-Detected Excluded,1,Pytest/Unittest,Contains test function (test_*),
TEST_REPOS/django-testing-examples/myapp/tests/test_models.py,Auto-Detected Excluded,1,Pytest/Unittest,Contains test function (test_*),
TEST_REPOS/django-testing-examples/myapp/tests/test_views.py,Auto-Detected Excluded,7,Pytest/Unittest,Contains test function (test_*),
TEST_REPOS/java-testing-example/bank-ocr/src/test/java/bank/RunCukesTest.java,Auto-Detected Excluded,2,Test Runner/Suite,"Java Test Suite/Runner (@RunWith, @CucumberOptions) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-example/example-cucumber/src/test/java/example/RunCukesTest.java,Auto-Detected Excluded,2,Test Runner/Suite,"Java Test Suite/Runner (@RunWith, @CucumberOptions) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-example/example-cucumber/src/test/java/example/Stepdefs.java,Auto-Detected Excluded,8,Cucumber (BDD),"Cucumber BDD Step Definition (@Given, @When, etc.)",
TEST_REPOS/java-testing-example/example/src/test/java/example/FeedsWalrusTest.java,Auto-Detected Excluded,3,JUnit/TestNG + Test Runner/Suite,"Java Test Suite/Runner (@RunWith, @CucumberOptions) + Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-example/example/src/test/java/example/OpensCanTest.java,Auto-Detected Excluded,2,JUnit/TestNG,"Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-example/example/src/test/java/example/values/WalrusTest.java,Auto-Detected Excluded,3,JUnit/TestNG,"Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-example/selenium/src/test/java/example/GoogleTest.java,Auto-Detected Excluded,2,JUnit/TestNG,"Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-example/selenium/src/test/java/tictactoe/TicTacToeTest.java,Auto-Detected Excluded,1,,Java Test Class (Naming Convention),
TEST_REPOS/java-testing-example/selenium/src/test/java/todo/TodoCukeTest.java,Auto-Detected Excluded,2,Test Runner/Suite,"Java Test Suite/Runner (@RunWith, @CucumberOptions) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-example/selenium/src/test/java/todo/TodoSteps.java,Auto-Detected Excluded,3,Cucumber (BDD),"Cucumber BDD Step Definition (@Given, @When, etc.)",
TEST_REPOS/java-testing-example/selenium/src/test/java/todo/TodoTest.java,Auto-Detected Excluded,6,JUnit/TestNG,"Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-with-spock/chapter1/src/test/java/com/manning/spock/chapter1/AdderTest.java,Auto-Detected Excluded,3,JUnit/TestNG,"Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-with-spock/chapter1/src/test/java/com/manning/spock/chapter1/BadTest.java,Auto-Detected Excluded,3,JUnit/TestNG,"Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-with-spock/chapter1/src/test/java/com/manning/spock/chapter1/MultiplierTest.java,Auto-Detected Excluded,3,JUnit/TestNG,"Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-with-spock/chapter2/src/test/java/com/manning/spock/chapter2/NormalAssert.java,Auto-Detected Excluded,4,JUnit/TestNG,"Annotated test method (@Test, etc.)",
TEST_REPOS/java-testing-with-spock/chapter2/src/test/java/com/manning/spock/chapter2/ObjectCreationTest.java,Auto-Detected Excluded,2,JUnit/TestNG,"Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-with-spock/chapter3/src/test/java/com/manning/spock/chapter3/coolant/CoolantSensorTest.java,Auto-Detected Excluded,4,JUnit/TestNG,"Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-with-spock/chapter3/src/test/java/com/manning/spock/chapter3/fire/FireSensor2Test.java,Auto-Detected Excluded,4,JUnit/TestNG,"Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-with-spock/chapter3/src/test/java/com/manning/spock/chapter3/fire/FireSensorTest.java,Auto-Detected Excluded,5,JUnit/TestNG,"Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/java-testing-with-spock/chapter3/src/test/java/com/manning/spock/chapter3/nuclear/NuclearReactorTest.java,Auto-Detected Excluded,3,JUnit/TestNG + Test Runner/Suite,"Java Test Suite/Runner (@RunWith, @CucumberOptions) + Annotated test method (@Test, etc.) + Java Test Class (Naming Convention)",
TEST_REPOS/neotest-dotnet/tests/nunit/specs/specflow.cs,Auto-Detected Excluded,1,SpecFlow,SpecFlow BDD generated test detected,
TEST_REPOS/neotest-dotnet/tests/nunit/specs/test_simple.cs,Auto-Detected Excluded,1,NUnit,NUnit framework detected ([Test] / [TestCase]),
TEST_REPOS/neotest-dotnet/tests/nunit/specs/testcasesource.cs,Auto-Detected Excluded,1,NUnit,NUnit framework detected ([Test] / [TestCase]),
TEST_REPOS/neotest-dotnet/tests/xunit/specs/block_scoped_namespace.cs,Auto-Detected Excluded,1,xUnit,xUnit framework detected ([Fact] / [Theory]),
TEST_REPOS/neotest-dotnet/tests/xunit/specs/classdata.cs,Auto-Detected Excluded,1,xUnit,xUnit framework detected ([Fact] / [Theory]),
TEST_REPOS/neotest-dotnet/tests/xunit/specs/fact_and_trait.cs,Auto-Detected Excluded,1,xUnit,xUnit framework detected ([Fact] / [Theory]),
TEST_REPOS/neotest-dotnet/tests/xunit/specs/nested_class.cs,Auto-Detected Excluded,3,xUnit,xUnit framework detected ([Fact] / [Theory]),
TEST_REPOS/neotest-dotnet/tests/xunit/specs/theory_and_fact_mixed.cs,Auto-Detected Excluded,2,xUnit,xUnit framework detected ([Fact] / [Theory]),
